MAP:Taxiways and Apron
AIRPORT:ORBI
FOLDER:Airport Layout
N033.14.22.442 E044.13.50.441
N033.14.22.406 E044.13.50.190
N033.14.22.404 E044.13.49.950
N033.14.22.424 E044.13.49.803
N033.14.22.470 E044.13.49.620
N033.14.22.547 E044.13.49.395
N033.14.22.603 E044.13.49.284
N033.14.22.687 E044.13.49.175
N033.14.22.799 E044.13.49.043
N033.14.22.895 E044.13.48.957
N033.14.23.010 E044.13.48.874
N033.14.23.151 E044.13.48.799
N033.14.23.254 E044.13.48.754
N033.14.23.435 E044.13.48.707
N033.14.23.492 E044.13.48.705
N033.14.23.670 E044.13.48.712
N033.14.23.820 E044.13.48.741
N033.14.23.935 E044.13.48.791
N033.14.24.064 E044.13.48.851
N033.14.24.164 E044.13.48.931
N033.14.24.293 E044.13.49.017
N033.14.24.467 E044.13.49.104
N033.14.24.606 E044.13.49.145
N033.14.24.753 E044.13.49.163
N033.14.24.930 E044.13.49.159
N033.14.25.069 E044.13.49.131
N033.14.25.226 E044.13.49.088
N033.14.25.335 E044.13.49.047
N033.14.25.502 E044.13.48.942
N033.14.25.630 E044.13.48.835
N033.14.25.743 E044.13.48.700
N033.14.25.829 E044.13.48.538
N033.14.25.880 E044.13.48.404
N033.14.25.914 E044.13.48.287
N033.14.25.935 E044.13.48.162
N033.14.25.943 E044.13.48.032
N033.14.25.937 E044.13.47.829
N033.14.25.909 E044.13.47.658
N033.14.25.861 E044.13.47.478
N033.14.24.450 E044.13.44.587
N033.14.24.251 E044.13.44.185
N033.14.23.977 E044.13.43.948
N033.14.23.771 E044.13.43.829
N033.14.23.409 E044.13.43.814
N033.14.23.265 E044.13.43.839
N033.14.23.059 E044.13.43.934
N033.14.22.595 E044.13.44.254
N033.14.22.053 E044.13.44.639
N033.14.21.875 E044.13.44.890
N033.14.21.795 E044.13.45.047
N033.14.21.711 E044.13.45.189
N033.14.21.539 E044.13.45.403
N033.14.21.368 E044.13.45.551
N033.14.21.129 E044.13.45.683
N033.14.20.916 E044.13.45.722
N033.14.20.670 E044.13.45.708
N033.14.20.465 E044.13.45.661
N033.14.20.242 E044.13.45.558
N033.14.20.002 E044.13.45.360
N033.14.19.865 E044.13.45.177
N033.14.19.773 E044.13.45.020
N033.14.19.659 E044.13.44.650
N033.14.19.661 E044.13.44.509
N033.14.19.663 E044.13.44.265
N033.14.19.691 E044.13.44.019
N033.14.19.785 E044.13.43.715
N033.14.19.926 E044.13.43.456
N033.14.20.092 E044.13.43.296
N033.14.20.305 E044.13.43.132
N033.14.20.477 E044.13.43.054
N033.14.20.668 E044.13.43.015
N033.14.20.832 E044.13.43.020
N033.14.21.038 E044.13.43.056
N033.14.21.242 E044.13.43.109
N033.14.21.381 E044.13.43.196
N033.14.21.516 E044.13.43.305
N033.14.21.602 E044.13.43.376
N033.14.21.867 E044.13.43.456
N033.14.22.068 E044.13.43.481
N033.14.22.272 E044.13.43.469
N033.14.22.453 E044.13.43.412
N033.14.22.611 E044.13.43.335
N033.14.22.813 E044.13.43.214
N033.14.23.735 E044.13.42.573
N033.14.24.397 E044.13.42.126
N033.14.24.529 E044.13.41.986
N033.14.28.839 E044.13.50.961
N033.14.29.160 E044.13.51.615
N033.14.29.188 E044.13.51.632
N033.14.29.474 E044.13.51.727
N033.14.29.604 E044.13.51.741
N033.14.29.753 E044.13.51.741
N033.14.29.917 E044.13.51.718
N033.14.30.916 E044.13.51.048
N033.14.30.981 E044.13.50.989
N033.14.31.103 E044.13.50.838
N033.14.31.179 E044.13.50.697
N033.14.31.213 E044.13.50.560
N033.14.31.225 E044.13.50.382
N033.14.31.198 E044.13.50.236
N033.14.31.172 E044.13.50.122
N033.14.29.859 E044.13.47.454
N033.14.28.665 E044.13.45.133
N033.14.28.612 E044.13.45.010
N033.14.28.601 E044.13.44.795
N033.14.28.608 E044.13.44.608
N033.14.28.616 E044.13.44.490
N033.14.28.665 E044.13.44.371
N033.14.28.742 E044.13.44.321
N033.14.28.841 E044.13.44.262
N033.14.28.936 E044.13.44.234
N033.14.29.039 E044.13.44.225
N033.14.29.112 E044.13.44.243
N033.14.29.173 E044.13.44.248
N033.14.29.249 E044.13.44.289
N033.14.29.386 E044.13.44.531
N033.14.29.772 E044.13.45.356
N033.14.29.686 E044.13.45.906
N033.14.29.863 E044.13.46.259
N033.14.29.938 E044.13.46.423
N033.14.30.037 E044.13.46.567
N033.14.30.113 E044.13.46.640
N033.14.30.193 E044.13.46.690
N033.14.30.298 E044.13.46.724
N033.14.30.426 E044.13.46.731
N033.14.30.540 E044.13.46.724
N033.14.30.697 E044.13.46.624
N033.14.31.704 E044.13.45.938
N033.14.31.843 E044.13.45.814
N033.14.31.910 E044.13.45.696
N033.14.31.973 E044.13.45.509
N033.14.31.986 E044.13.45.399
N033.14.31.978 E044.13.45.283
N033.14.31.948 E044.13.45.160
N033.14.29.220 E044.13.39.487
N033.14.29.632 E044.13.39.213
N033.14.30.113 E044.13.39.414
N033.14.30.571 E044.13.40.444
N033.14.30.464 E044.13.40.928
N033.14.32.367 E044.13.44.827
N033.14.32.466 E044.13.44.946
N033.14.32.569 E044.13.45.032
N033.14.32.711 E044.13.45.087
N033.14.32.798 E044.13.45.087
N033.14.32.894 E044.13.45.073
N033.14.32.993 E044.13.45.046
N033.14.33.103 E044.13.44.987
N033.14.34.179 E044.13.44.257
N033.14.34.221 E044.13.44.193
N033.14.34.343 E044.13.43.970
N033.14.34.358 E044.13.43.796
N033.14.34.358 E044.13.43.578
N033.14.33.069 E044.13.40.910
N033.14.33.504 E044.13.40.672
N033.14.33.664 E044.13.40.978
N033.14.34.099 E044.13.41.097
N033.14.34.583 E044.13.42.109
N033.14.34.490 E044.13.42.638
N033.14.34.654 E044.13.43.069
N033.14.34.782 E044.13.43.258
N033.14.34.883 E044.13.43.356
N033.14.35.005 E044.13.43.422
N033.14.35.096 E044.13.43.454
N033.14.35.239 E044.13.43.450
N033.14.35.301 E044.13.43.443
N033.14.35.369 E044.13.43.413
N033.14.35.432 E044.13.43.368
N033.14.35.592 E044.13.43.254
N033.14.36.540 E044.13.42.599
N033.14.36.595 E044.13.42.549
N033.14.36.685 E044.13.42.428
N033.14.36.729 E044.13.42.321
N033.14.36.752 E044.13.42.232
N033.14.36.759 E044.13.42.102
N033.14.36.756 E044.13.41.958
N033.14.36.735 E044.13.41.847
N033.14.36.672 E044.13.41.714
N033.14.39.746 E044.13.39.580
N033.14.43.110 E044.13.37.309
N033.14.45.452 E044.13.35.685
N033.14.49.945 E044.13.32.575
N033.14.53.950 E044.13.29.793
N033.14.59.007 E044.13.26.354
N033.14.57.970 E044.13.24.320
N033.15.01.807 E044.13.21.693
N033.15.02.074 E044.13.21.511
N033.15.02.989 E044.13.23.463
N033.15.08.657 E044.13.19.623
N033.15.14.263 E044.13.15.664
N033.15.20.968 E044.13.11.295
N033.15.32.027 E044.13.03.661
N033.15.35.395 E044.13.01.408
N033.15.35.311 E044.13.01.234
N033.15.34.727 E044.13.01.645
N033.15.34.685 E044.13.01.613
N033.15.34.620 E044.13.01.481
N033.15.34.578 E044.13.01.371
N033.15.34.514 E044.13.01.221
N033.15.34.487 E044.13.01.134
N033.15.34.506 E044.13.01.043
N033.15.34.517 E044.13.00.965
N033.15.34.544 E044.13.00.888
N033.15.34.582 E044.13.00.778
N033.15.34.712 E044.13.00.683
N033.15.35.913 E044.12.59.930
N033.15.36.295 E044.13.00.797
N033.15.40.573 E044.12.57.850
N033.15.41.603 E044.12.57.185
N033.15.44.036 E044.12.55.497
N033.15.45.699 E044.12.54.330
N033.15.48.082 E044.12.52.660
N033.15.48.326 E044.12.52.487
N033.15.48.364 E044.12.52.442
N033.15.48.406 E044.12.52.369
N033.15.48.456 E044.12.52.245
N033.15.48.467 E044.12.52.154
N033.15.48.467 E044.12.52.045
N033.15.48.448 E044.12.51.926
N033.15.48.433 E044.12.51.812
N033.15.48.013 E044.12.50.900
N033.15.47.853 E044.12.50.991
N033.15.47.708 E044.12.51.073
N033.15.47.563 E044.12.51.183
N033.15.47.502 E044.12.51.283
N033.15.47.449 E044.12.51.484
N033.15.46.084 E044.12.48.802
N033.15.47.251 E044.12.48.036
N033.15.47.968 E044.12.49.623
N033.15.48.143 E044.12.50.015
N033.15.48.555 E044.12.49.751
N033.15.48.578 E044.12.49.860
N033.15.50.843 E044.12.48.364
N033.15.50.729 E044.12.48.027
N033.15.53.661 E044.12.46.066
N033.15.54.042 E044.12.46.882
N033.15.53.280 E044.12.47.489
N033.15.53.901 E044.12.48.820
N033.15.53.977 E044.12.48.898
N033.15.54.134 E044.12.49.007
N033.15.54.267 E044.12.49.048
N033.15.54.420 E044.12.49.044
N033.15.54.519 E044.12.49.030
N033.15.55.659 E044.12.48.273
N033.15.55.762 E044.12.48.164
N033.15.55.831 E044.12.48.027
N033.15.55.869 E044.12.47.890
N033.15.55.877 E044.12.47.539
N033.15.55.591 E044.12.46.919
N033.15.55.148 E044.12.46.800
N033.15.55.026 E044.12.46.581
N033.15.55.308 E044.12.46.353
N033.15.54.546 E044.12.44.958
N033.15.55.095 E044.12.44.602
N033.15.55.186 E044.12.44.930
N033.15.57.085 E044.12.43.653
N033.15.56.918 E044.12.43.234
N033.15.57.695 E044.12.42.764
N033.15.59.572 E044.12.41.615
N033.15.59.705 E044.12.41.993
N033.16.00.563 E044.12.41.423
N033.16.03.751 E044.12.43.776
N033.16.04.193 E044.12.44.825
N033.15.57.573 E044.12.49.359
N033.15.57.997 E044.12.50.280
N033.15.58.153 E044.12.50.549
N033.15.58.214 E044.12.50.636
N033.15.58.302 E044.12.50.654
N033.15.58.536 E044.12.50.683
N033.15.58.590 E044.12.50.672
N033.15.58.678 E044.12.50.656
N033.15.58.900 E044.12.50.574
N033.15.59.175 E044.12.50.498
N033.15.59.617 E044.12.50.436
N033.15.59.845 E044.12.50.429
N033.16.00.115 E044.12.50.449
N033.16.00.483 E044.12.50.508
N033.16.00.884 E044.12.50.590
N033.16.01.142 E044.12.50.699
N033.16.01.313 E044.12.50.778
N033.16.01.700 E044.12.50.978
N033.16.02.085 E044.12.51.267
N033.16.02.330 E044.12.51.491
N033.16.02.580 E044.12.51.777
N033.16.02.810 E044.12.52.056
N033.16.03.000 E044.12.52.335
N033.16.03.363 E044.12.53.026
N033.16.04.473 E044.12.55.277
N033.16.05.451 E044.12.57.331
N033.16.05.446 E044.12.57.334
N033.16.06.486 E044.12.59.516
N033.16.08.193 E044.12.58.507
N033.16.09.062 E044.13.00.512
N033.16.08.045 E044.13.01.137
N033.16.07.605 E044.13.01.446
N033.16.07.611 E044.13.01.544
N033.16.07.666 E044.13.01.676
N033.16.07.770 E044.13.01.774
N033.16.08.007 E044.13.01.879
N033.16.08.908 E044.13.02.050
N033.16.09.381 E044.13.02.155
N033.16.09.382 E044.13.02.154
N033.16.10.069 E044.13.02.285
N033.16.10.214 E044.13.02.328
N033.16.10.344 E044.13.02.374
N033.16.10.517 E044.13.02.456
N033.16.10.577 E044.13.02.528
N033.16.10.731 E044.13.02.719
N033.16.10.855 E044.13.02.939
N033.16.11.025 E044.13.03.278
N033.16.11.289 E044.13.04.014
N033.16.11.470 E044.13.04.635
N033.16.11.553 E044.13.05.052
N033.16.11.654 E044.13.05.825
N033.16.11.668 E044.13.06.393
N033.16.11.682 E044.13.07.001
N033.16.11.632 E044.13.07.307
N033.16.11.509 E044.13.07.580
N033.16.11.371 E044.13.07.760
N033.16.11.047 E044.13.08.017
N033.16.08.744 E044.13.09.584
N033.16.07.400 E044.13.10.518
N033.16.07.401 E044.13.10.521
N033.16.07.286 E044.13.10.597
N033.16.07.206 E044.13.10.653
N033.16.07.205 E044.13.10.650
N033.16.06.653 E044.13.11.014
N033.16.05.779 E044.13.11.947
N033.16.05.065 E044.13.12.710
N033.16.04.944 E044.13.12.887
N033.16.04.867 E044.13.13.071
N033.16.04.856 E044.13.13.275
N033.16.04.889 E044.13.13.439
N033.16.04.983 E044.13.13.722
N033.16.05.268 E044.13.14.583
N033.16.05.261 E044.13.14.588
N033.16.05.620 E044.13.15.733
N033.16.06.450 E044.13.17.456
N033.16.10.143 E044.13.25.106
N033.16.15.781 E044.13.36.833
N033.16.27.624 E044.14.01.218
N033.16.28.996 E044.14.03.250
N033.16.28.997 E044.14.03.250
N033.16.29.008 E044.14.03.267
N033.16.29.011 E044.14.03.271
N033.16.29.011 E044.14.03.271
N033.16.29.045 E044.14.03.324
N033.16.29.071 E044.14.03.356
N033.16.29.178 E044.14.03.418
N033.16.29.299 E044.14.03.461
N033.16.29.428 E044.14.03.481
N033.16.29.579 E044.14.03.455
N033.16.29.769 E044.14.03.372
N033.16.30.052 E044.14.03.248
N033.16.31.274 E044.14.02.695
N033.16.31.785 E044.14.02.442
N033.16.32.088 E044.14.02.225
N033.16.34.291 E044.14.00.697
N033.16.36.866 E044.13.58.942
N033.16.37.226 E044.13.58.515
N033.16.37.399 E044.13.58.262
N033.16.37.478 E044.13.58.075
N033.16.37.506 E044.13.57.782
N033.16.37.454 E044.13.57.273
N033.16.37.415 E044.13.57.013
N033.16.37.334 E044.13.56.745
N033.16.37.333 E044.13.56.745
N033.16.36.963 E044.13.56.026
N033.16.35.617 E044.13.56.919
N033.16.35.859 E044.13.57.485
N033.16.34.782 E044.13.58.234
N033.16.34.523 E044.13.57.669
N033.16.34.122 E044.13.57.965
N033.16.34.298 E044.13.58.359
N033.16.33.424 E044.13.58.918
N033.16.32.166 E044.13.56.275
N033.16.33.001 E044.13.55.710
N033.16.32.864 E044.13.55.381
N033.16.35.908 E044.13.53.298
N033.16.35.911 E044.13.53.289
N033.16.35.643 E044.13.52.731
N033.16.35.390 E044.13.52.928
N033.16.35.211 E044.13.52.662
N033.16.35.143 E044.13.52.389
N033.16.35.121 E044.13.51.942
N033.16.35.129 E044.13.51.630
N033.16.35.167 E044.13.51.272
N033.16.35.296 E044.13.50.868
N033.16.35.423 E044.13.50.572
N033.16.35.618 E044.13.50.279
N033.16.35.865 E044.13.49.990
N033.16.36.077 E044.13.49.780
N033.16.36.404 E044.13.49.530
N033.16.36.434 E044.13.49.507
N033.16.36.673 E044.13.49.392
N033.16.36.945 E044.13.49.303
N033.16.37.484 E044.13.49.228
N033.16.38.000 E044.13.49.287
N033.16.38.250 E044.13.49.333
N033.16.38.580 E044.13.49.497
N033.16.38.852 E044.13.49.675
N033.16.39.058 E044.13.49.878
N033.16.39.201 E044.13.50.243
N033.16.40.047 E044.13.49.717
N033.16.39.756 E044.13.49.106
N033.16.41.569 E044.13.48.120
N033.16.43.097 E044.13.50.085
N033.16.43.454 E044.13.50.506
N033.16.43.630 E044.13.50.835
N033.16.43.965 E044.13.51.696
N033.16.44.157 E044.13.52.024
N033.16.44.399 E044.13.52.235
N033.16.44.410 E044.13.52.261
N033.16.44.569 E044.13.52.445
N033.16.44.773 E044.13.52.642
N033.16.44.965 E044.13.52.780
N033.16.45.223 E044.13.52.833
N033.16.45.537 E044.13.52.807
N033.16.45.734 E044.13.52.747
N033.16.45.965 E044.13.52.688
N033.16.46.190 E044.13.52.544
N033.16.46.553 E044.13.52.274
N033.16.46.559 E044.13.52.287
N033.16.49.128 E044.13.50.470
N033.16.49.930 E044.13.49.642
N033.16.50.084 E044.13.49.326
N033.16.50.216 E044.13.48.248
N033.16.50.303 E044.13.47.532
N033.16.50.287 E044.13.44.830
N033.16.53.699 E044.13.42.477
N033.16.56.452 E044.13.44.298
N033.16.58.777 E044.13.45.856
N033.16.59.194 E044.13.46.342
N033.16.59.414 E044.13.46.776
N033.17.01.444 E044.13.50.905
N033.17.04.683 E044.13.48.748
N033.17.04.727 E044.13.48.866
N033.17.05.678 E044.13.51.015
N033.17.02.480 E044.13.53.211
N033.17.02.491 E044.13.53.237
N033.17.00.821 E044.13.54.381
N033.17.00.809 E044.13.54.358
N033.16.25.699 E044.14.18.457
N033.16.25.698 E044.14.18.455
N033.16.24.813 E044.14.19.077
N033.16.21.136 E044.14.21.591
N033.16.18.652 E044.14.23.320
N033.16.16.223 E044.14.25.016
N033.16.09.205 E044.14.29.824
N033.16.09.207 E044.14.29.830
N033.16.01.398 E044.14.35.164
N033.15.42.880 E044.14.47.868
N033.15.32.344 E044.14.55.092
N033.15.21.610 E044.15.02.453
N033.15.13.634 E044.15.07.929
N033.15.06.381 E044.15.12.894
N033.15.05.282 E044.15.10.653
N033.15.07.121 E044.15.09.358
N033.15.08.471 E044.15.08.426
N033.15.06.539 E044.15.04.350
N033.15.06.320 E044.15.03.857
N033.15.06.204 E044.15.03.502
N033.15.06.144 E044.15.02.950
N033.15.06.303 E044.14.56.107
N033.15.09.414 E044.14.54.024
N033.15.09.546 E044.14.53.938
N033.15.09.673 E044.14.53.905
N033.15.11.162 E044.14.54.937
N033.15.12.638 E044.14.55.700
N033.15.12.858 E044.14.55.788
N033.15.13.072 E044.14.55.838
N033.15.13.243 E044.14.55.848
N033.15.13.355 E044.14.55.848
N033.15.13.515 E044.14.55.825
N033.15.13.765 E044.14.55.693
N033.15.14.188 E044.14.55.499
N033.15.14.776 E044.14.55.128
N033.15.16.197 E044.14.54.178
N033.15.19.231 E044.14.52.127
N033.15.28.630 E044.14.45.620
N033.15.32.928 E044.14.42.728
N033.15.35.825 E044.14.40.789
N033.15.37.677 E044.14.39.553
N033.15.40.263 E044.14.37.762
N033.15.41.046 E044.14.37.246
N033.15.41.362 E044.14.36.957
N033.15.41.758 E044.14.36.526
N033.15.42.447 E044.14.35.858
N033.15.42.443 E044.14.35.850
N033.15.42.619 E044.14.35.706
N033.15.42.762 E044.14.35.502
N033.15.42.856 E044.14.35.331
N033.15.42.922 E044.14.35.213
N033.15.42.966 E044.14.35.081
N033.15.42.982 E044.14.34.943
N033.15.42.982 E044.14.34.858
N033.15.42.949 E044.14.34.766
N033.15.42.861 E044.14.34.667
N033.15.42.639 E044.14.34.532
N033.15.42.601 E044.14.34.555
N033.15.42.585 E044.14.34.507
N033.15.42.582 E044.14.34.509
N033.15.42.395 E044.14.34.058
N033.15.38.691 E044.14.36.254
N033.15.36.275 E044.14.31.189
N033.15.41.958 E044.14.27.344
N033.15.42.217 E044.14.27.850
N033.15.44.684 E044.14.33.017
N033.15.44.684 E044.14.33.016
N033.15.44.729 E044.14.33.080
N033.15.44.792 E044.14.33.227
N033.15.44.783 E044.14.33.232
N033.15.44.823 E044.14.33.359
N033.15.44.972 E044.14.33.556
N033.15.45.087 E044.14.33.629
N033.15.45.257 E044.14.33.661
N033.15.45.521 E044.14.33.622
N033.15.46.840 E044.14.33.096
N033.15.47.500 E044.14.32.761
N033.15.48.841 E044.14.31.860
N033.16.00.844 E044.14.23.644
N033.16.04.009 E044.14.21.462
N033.16.09.428 E044.14.17.748
N033.16.13.204 E044.14.15.152
N033.16.16.474 E044.14.12.924
N033.16.19.155 E044.14.11.097
N033.16.21.848 E044.14.09.250
N033.16.22.645 E044.14.08.665
N033.16.23.644 E044.14.07.698
N033.16.24.052 E044.14.07.298
N033.16.24.050 E044.14.07.296
N033.16.24.114 E044.14.07.230
N033.16.24.163 E044.14.07.177
N033.16.24.215 E044.14.07.115
N033.16.24.257 E044.14.07.052
N033.16.24.300 E044.14.06.974
N033.16.24.339 E044.14.06.868
N033.16.24.339 E044.14.06.868
N033.16.24.327 E044.14.06.877
N033.16.23.618 E044.14.04.215
N033.16.22.854 E044.14.02.612
N033.16.21.590 E044.13.59.989
N033.16.20.233 E044.13.57.169
N033.16.19.997 E044.13.56.689
N033.16.19.425 E044.13.55.835
N033.16.18.612 E044.13.54.698
N033.16.18.419 E044.13.54.514
N033.16.18.265 E044.13.54.458
N033.16.18.112 E044.13.54.464
N033.16.17.936 E044.13.54.553
N033.16.17.774 E044.13.54.675
N033.16.17.708 E044.13.54.760
N033.16.16.713 E044.13.56.206
N033.16.14.614 E044.14.00.426
N033.16.08.788 E044.13.56.351
N033.16.09.135 E044.13.55.634
N033.16.12.432 E044.13.53.360
N033.16.12.437 E044.13.50.534
N033.16.09.063 E044.13.48.253
N033.16.08.096 E044.13.46.215
N033.16.08.090 E044.13.41.608
N033.16.06.068 E044.13.40.201
N033.16.02.688 E044.13.42.515
N033.16.00.704 E044.13.42.515
N033.15.57.346 E044.13.40.201
N033.15.55.335 E044.13.41.562
N033.15.55.296 E044.13.46.123
N033.15.52.532 E044.13.48.030
N033.15.49.531 E044.13.41.897
N033.15.49.163 E044.13.41.351
N033.15.48.877 E044.13.40.931
N033.15.48.745 E044.13.40.793
N033.15.48.641 E044.13.40.720
N033.15.48.637 E044.13.40.721
N033.15.48.637 E044.13.40.724
N033.15.48.631 E044.13.40.723
N033.15.48.503 E044.13.40.753
N033.15.48.502 E044.13.40.704
N033.15.48.045 E044.13.40.638
N033.15.43.756 E044.13.40.655
N033.15.40.942 E044.13.41.148
